id,title,category1,T5_rank,T5_S_scale,T5_S_score
20187392,"

আ’লীগ সার্বভৌমত্বকে অর্ঘ্য হিসেবে তুলে দিয়েছে প্রভুর দরবারে : রিজভী
",রাজনীতি,1,1.0,100.0
20187844,"

সাইবার সিকিউরিটি অ্যাক্ট বাতিলের দাবি সাংবাদিক নেতাদের
",রাজনীতি,1,1.0,100.0
20046085,স্মার্ট নগরী গড়তে ২৩ প্রতিশ্রুতি টিটুর,রাজনীতি,1,1.0,100.0
20187824,"

ফরিদপুরে বালির ট্রাক চলাচল বন্ধ ও নিরাপদ সড়ক দাবিতে মানববন্ধন
",রাজনীতি,1,1.0,100.0
20046082,সিলেট মহিলা আওয়ামী লীগের আনন্দ মিছিল,রাজনীতি,1,1.0,100.0
20188249,"

বিশ্ববাসীকে ড. ইউনূসের পাশে দাঁড়ানোর আহ্বান নুরের
",রাজনীতি,1,1.0,100.0
20187747,"

‘নির্বাচনী ইশতেহারের অগ্রাধিকার বিষয়ে জেলা প্রশাসকদের দৃষ্টি আকর্ষণ’
",রাজনীতি,1,1.0,100.0
20046079,নবীগঞ্জে ট্রাক-সিএনজি সংঘর্ষে নিহত ২,রাজনীতি,1,1.0,100.0
20046076,জামিন পেলেন বিএনপি নেতা চাঁদ,রাজনীতি,1,1.0,100.0
20187709,"

পতন বেশি দূরে নয় : সরকারকে ফারুক
",রাজনীতি,1,1.0,100.0
20187697,"

লক্ষ্মীপুরে লক্ষাধিক লোকের উপস্থিতিতে আল্লামা লুৎফুর রহমানের নামাজে জানাজা সম্পন্ন
",রাজনীতি,1,1.0,100.0
20186876,"

রামগতিতে পতাকা উত্তোলন দিবস পালিত
",রাজনীতি,1,1.0,100.0
20186894,"
হালুয়াঘাট পূজা উদযাপন পরিষদ  
সভাপতি দেবতোষ সম্পাদক সুভাষ
",রাজনীতি,1,1.0,100.0
20188262,"

মিয়ানমার সংঘাত রোহিঙ্গা প্রত্যাবাসন কঠিন করে তুলেছে : প্রধানমন্ত্রী
",রাজনীতি,1,1.0,100.0
20046065,পাবনায় কারামুক্ত নেতাকর্মীদের সংবর্ধনা,রাজনীতি,1,1.0,100.0
20046059,মাওলানা লুৎফর রহমান আর নেই,রাজনীতি,1,1.0,100.0
20046058,আশরাফিয়া চ্যারিটেবল ট্রাস্টকে শক্তিশালী করার প্রত্যয়,রাজনীতি,1,1.0,100.0
20046120,লোকসভা ভোটে এবার বিজেপির ডিজিটাল প্রচারের স্লোগান ‘মোদী কা পরিবার’,রাজনীতি,1,1.0,100.0
20187632,"

ইসরাইলি আগ্রাসন বিষয়ক ওআইসির বৈঠকে যোগ দেবেন পররাষ্ট্রমন্ত্রী
",রাজনীতি,1,1.0,100.0
20187010,"
আলোচনায় ৪ প্রার্থী 
ইন্দুরকানী উপজেলা নির্বাচনে প্রার্থীদের দৌড়ঝাঁপ শুরু
",রাজনীতি,1,1.0,100.0
20046087,ফেব্রুয়ারিতে সিলেটের সড়কে ২৬ জনের মৃত্যু,রাজনীতি,1,1.0,100.0
20187859,"

পাকিস্তানের ২৪তম প্রধানমন্ত্রী হিসেবে শপথ নিলেন শাহবাজ শরিফ
",রাজনীতি,1,1.0,100.0
20185219,"

প্রশ্নোত্তর
",রাজনীতি,1,1.0,100.0
20046092,পাকিস্তানের ২৪তম প্রধানমন্ত্রী হলেন শেহবাজ,রাজনীতি,1,1.0,100.0
20188043,"

বাগেরহাটে ইঁদুর মারার ফাঁদে বিদ্যুৎস্পৃষ্ট হয়ে যুবদল নেতার মৃত্যু
",রাজনীতি,1,1.0,100.0
20188056,"

চুনারুঘাটে লাঙ্গুলীয়া ব্রিজ উদ্বোধনের আগেই রাস্তা কেটে ফেললেন এক ইউপি সদস্য
",রাজনীতি,1,1.0,100.0
20188063,"

কারামুক্ত হলেন বিএনপি নেতা মজনু
",রাজনীতি,1,1.0,100.0
20046931,বাউফলে ধর্ষণের অভিযোগে ছাত্রলীগ নেতাসহ গ্রেপ্তার ২,রাজনীতি,1,1.0,100.0
20188097,"

সংরক্ষিত আসন পাচ্ছেন না ইমরান সমর্থিতরা
",রাজনীতি,1,1.0,100.0
20046932,আশরাফিয়া চ্যারিটেবল ট্রাস্টকে শক্তিশালী করার প্রত্যয়,রাজনীতি,1,1.0,100.0
20187994,"

বরগুনায় সাংবাদিক মাসউদ হত্যার অভিযোগে ১৩ জনের বিরুদ্ধে মামলা
",রাজনীতি,1,1.0,100.0
20046934,বাংলাদেশে রাজনৈতিক সংলাপের জন্য বিরোধী নেতাকর্মীদের মামলা দ্রুত পর্যালোচনার আহ্বান জাতিসংঘ মানবাধিকার প্রধানের,রাজনীতি,1,1.0,100.0
20188143,"

যুদ্ধবিরতির আলোচনা : ‘বল ইসরাইলের হাতে’
",রাজনীতি,1,1.0,100.0
