id,title,body_len,T3_rank,T3_S_scale,T3_S_score
20181598,"

জেলা পর্যায়ের নির্বাচনে হারা ব্যক্তি যেভাবে পাকিস্তানের রেকর্ড গড়া প্রেসিডেন্ট
",2039,1.0,1.0,100.0
20181140,"

অস্কার পাওয়া যে ১০টি চলচ্চিত্র না দেখলেই নয়
",1682,2.0,0.8229166666666666,82.29166666666666
20051916,বিভিন্ন পদে চাকরি দেবে বরিশাল বিশ্ববিদ্যালয়,1663,3.0,0.8134920634920635,81.34920634920636
20046682,সিনেমার নায়ক রাজনীতিতে কেমন করছেন,1503,4.0,0.7341269841269841,73.4126984126984
20173754,"

ইসলামে কেন রোজার প্রবর্তন
",1498,5.0,0.7316468253968254,73.16468253968253
20181207,"

মেঘনা নদীর বাঁকে
",1225,6.0,0.5962301587301587,59.62301587301587
20180862,"
	দ্রব্যমূল্য বৃদ্ধিতে সারা দেশে বিএনপির লিফলেট বিতরণ 
২৮ অক্টোবরের মতো নারকীয় ঘটনা ’৭১ সালে পাকিস্তান বাহিনীও ঘটায়নি : মির্জা আব্বাস
",1180,7.0,0.5739087301587301,57.39087301587301
20181309,"

হোয়াটসঅ্যাপে লোভনীয় চাকরির প্রস্তাব পেলে কী করবেন
",1157,8.0,0.5625,56.25
20051700,শিল্প খাতের সামনে যতসব চ্যালেঞ্জ,1124,9.0,0.5461309523809523,54.613095238095234
20181004,"

সিলগালার সার্কাস : জনগণও মহাশয়
",1106,10.0,0.5372023809523809,53.720238095238095
20173791,"

 সিলগালার সার্কাস : জনগণও মহাশয়
",1104,11.0,0.5362103174603174,53.62103174603175
20181718,"

‘লাঙ্গলে’র দখল ছাড়তে রাজি নয় জাতীয় পার্টির কোনো পক্ষই
",1096,12.0,0.5322420634920635,53.22420634920635
20047187,যেভাবে কিশোর গ্যাংয়ে জড়ালো ওরা,1093,13.0,0.5307539682539683,53.07539682539682
20181711,"

সিঙ্গাপুর স্টিং : রাশিয়া কী করে জার্মান জেনারেলদের কথায় আড়ি পেতেছিল
",1074,14.0,0.5213293650793651,52.13293650793651
20180975,"
	নানা নাটকীয়তার পর সুপ্রিম কোর্ট বার নির্বাচনে ভোট গণনা  	 
সভাপতি খোকন, সম্পাদক হচ্ছেন শাহ মঞ্জুরুল
সম্পাদক প্রার্থী ব্যারিস্টার কাজল গ্রেফতার
",1059,15.0,0.5138888888888888,51.388888888888886
20046816,আন্দোলন কোন পথে,1027,16.0,0.498015873015873,49.801587301587304
20181016,"

কেবলই শাক দিয়ে মাছ ঢাকার প্রয়াস
",1024,17.0,0.4965277777777778,49.65277777777778
20173797,"

কেবলই শাক দিয়ে মাছ ঢাকার প্রয়াস
",1024,17.0,0.4965277777777778,49.65277777777778
20181192,"

রাবিতে বিলম্বে যাওয়া পরীক্ষার্থীর সংখ্যা ও অন্যান্য প্রশ্ন নিয়ে যা বলছে কর্তৃপক্ষ
",1007,19.0,0.4880952380952381,48.80952380952381
20046646,সচেতনতা এবং স্বাস্থ্য সম্মত জীবনযাপন করলে ৫০ থেকে ৬০ ভাগ কিডনি বিকল প্রতিরোধ সম্ভব,920,20.0,0.44494047619047616,44.49404761904761
20046818,অপহৃত ব্যবসায়ীর সঙ্গে আপত্তিকর ছবি তুলে ব্ল্যাকমেইল,905,21.0,0.4375,43.75
20046703,'জীবনমুখী গান মানুষের হৃদয়কে পরিশুদ্ধ করে',893,22.0,0.43154761904761907,43.154761904761905
20046632,আরিফুর রহমান দোলন রাজনৈতিক প্রতিহিংসার শিকার: সাংবাদিক নেতৃবৃন্দ,875,23.0,0.4226190476190476,42.26190476190476
20180965,"

গাজায় বন্দর নির্মাণ মূল ঘটনাকে আড়ালের কৌশল
",814,24.0,0.3923611111111111,39.23611111111111
20181260,"

রমজানে সুলভ মূল্যে ডিম, দুধ ও গোশত বিক্রি শুরু
",789,25.0,0.37996031746031744,37.99603174603175
20046683,দু’দিনের নাটকীয়তা,788,26.0,0.3794642857142857,37.94642857142857
20181599,"

জমি দখল করতে চাচাকে হত্যা মামলায় ফাঁসানোর ষড়যন্ত্র!
",774,27.0,0.3725198412698413,37.25198412698413
20180844,"
	জাপার একাংশের কাউন্সিল  
রওশন চেয়ারম্যান, নির্বাহী চেয়ারম্যান ফিরোজ রশীদ মহাসচিব কাজী মামুন
",769,28.0,0.37003968253968256,37.00396825396825
20046688,আনুষ্ঠানিকভাবে ভাঙলো জাতীয় পার্টি,758,29.0,0.3645833333333333,36.45833333333333
20044809,কুমিল্লায় সূচনা ময়মনসিংহে টিটু বিজয়ী,752,30.0,0.36160714285714285,36.160714285714285
20046681,আরও কঠিন হয়ে এলো রমজান,752,30.0,0.36160714285714285,36.160714285714285
20180955,"

শ্রীলঙ্কার কাছে টি-২০ সিরিজ হার বাংলাদেশ
",742,32.0,0.3566468253968254,35.66468253968254
20180986,"

আদানির বিদ্যুতের বকেয়া পাওনা ছাড়ে তোড়জোড়
৩ হাজার কোটি টাকা ভর্তুকি; ছাড় করতে বিদ্যুৎ বিভাগের চিঠি
",702,33.0,0.3368055555555556,33.68055555555556
20046634,আওয়ামী অলিগার্করা গরিবের পকেট কেটে ফুলে ফেঁপে বড়লোক হচ্ছে,695,34.0,0.3333333333333333,33.33333333333333
20046671,"আকস্মিক পদত্যাগ কমিশনারের, ভারতে নির্বাচন কমিশনে আছেন শুধু সিইসি",646,35.0,0.3090277777777778,30.90277777777778
20181403,"

লটারির মাধ্যমে উপনির্বাচন ফলাফল ঘোষণা, পরাজিত প্রার্থীর প্রত্যাখান
",641,36.0,0.30654761904761907,30.654761904761905
20181298,"

রমজানের সামনে জেরুসালেমে সহিংসতা ছড়িয়ে পড়ার আশঙ্কা
",635,37.0,0.30357142857142855,30.357142857142854
20051836,রমজানে দ্রব্যমূল্য বৃদ্ধিকারীদের কঠোর হুঁশিয়ারি বাহাউদ্দিন নাছিমের,632,38.0,0.3020833333333333,30.208333333333332
20046685,সিলেটে দুই বান্ধবীর লড়াই,617,39.0,0.29464285714285715,29.464285714285715
20180871,"
	জামায়াতের নির্বাহী পরিষদের সভা 
রমজানের আগেই ডা: শফিকুর রহমানসহ রাজবন্দীদের মুক্তি দিন
",593,40.0,0.28273809523809523,28.273809523809522
20046684,ডোম ইনোর প্রতারণার কারণে আমাদের পথে বসতে হচ্ছে,592,41.0,0.2822420634920635,28.224206349206348
20046626,"কাস্টিং ভোটের চেয়ে প্রার্থীদের ভোট বেশি, যে ব্যাখ্যা দিল ইসি",587,42.0,0.27976190476190477,27.976190476190478
20046694,পকেট থেকে রিপোর্ট বের করে পাপন বললেন ‘কিছু নেই’,584,43.0,0.27827380952380953,27.827380952380953
20046637,ভবন নির্মাণ অনুমোদন-তদারকিতে গাফিলতি থাকলে ব্যবস্থা: স্বরাষ্ট্রমন্ত্রী,577,44.0,0.2748015873015873,27.48015873015873
20046600,মারা গেল সিলেটের সেই শিশুটি,575,45.0,0.27380952380952384,27.380952380952383
20181892,"

করিমগঞ্জে বিলের মাটি অবৈধভাবে বিক্রি পাশের জমি ধসে পড়ার আশঙ্কা
",551,46.0,0.2619047619047619,26.190476190476193
20046701,জানুয়ারিতে বেসরকারি খাতে ঋণের প্রবৃদ্ধি কমেছে,551,46.0,0.2619047619047619,26.190476190476193
20181177,"

যেন লাল শাড়ি পরে আছে প্রকৃতি
",529,48.0,0.2509920634920635,25.099206349206348
20044803,সুনামগঞ্জে প্রেমিককে গাছে বেঁধে প্রেমিকাকে গণধর্ষণ,521,49.0,0.24702380952380953,24.702380952380953
20181495,"

দ্রব্যমূল্যের লাগাম টেনে ধরে বাজার নিয়ন্ত্রণ করতে হবে : নূরুল ইসলাম বুলবুল
",516,50.0,0.24454365079365079,24.45436507936508
20180926,"

 রাজবন্দী নয় কারাগারে আছে অপরাধে জড়িত বিএনপির নেতাকর্মী : স্বরাষ্ট্রমন্ত্রী
",511,51.0,0.24206349206349206,24.206349206349206
20046826,ব্র্যান্ড প্র্যাক্টিশনার্স বাংলাদেশের ফ্যাশন এন্ড লাইফস্টাইল মার্কেটিং ফেস্ট অনুষ্ঠিত,510,52.0,0.24156746031746032,24.15674603174603
20046692,যে ভুলের মাসুল গুনলো বাংলাদেশ,502,53.0,0.23759920634920634,23.759920634920633
20046824,‘ভেজালকারী ছোট হোক বড় হোক কাউকে ছাড় দেয়া হবে না’,496,54.0,0.23462301587301587,23.46230158730159
20180931,"

 পাকিস্তানি প্রশাসনের সাথে সম্পর্ক ছিন্নের আহ্বান
",488,55.0,0.23065476190476192,23.065476190476193
20181743,"

জাতীয় নির্বাচন নিয়ে ইউরোপীয় ইউনিয়নের রিপোর্ট নিয়ে যা বললেন ওবায়দুল কাদের
",486,56.0,0.2296626984126984,22.966269841269842
20181853,"
 	ডিবেট ফর ডেমোক্র্যাসি  
‘বেইলি রোডের অগ্নিকাণ্ডের দায় কেউ এড়াতে পারে না’
",480,57.0,0.22668650793650794,22.668650793650794
20047188,"শোক, শ্রদ্ধায় পুলিশ সদস্যদের স্মরণ",479,58.0,0.2261904761904762,22.61904761904762
20051678,খেজুর-বরই বিতর্ক নিয়ে মুখ খুললেন শিল্পমন্ত্রী,471,59.0,0.2222222222222222,22.22222222222222
